Date,Confirmed
26-03-2020,6
27-03-2020,6
27-03-2020,6
28-03-2020,6
28-03-2020,6
03-04-2020,6
03-04-2020,6
04-04-2020,6
05-04-2020,6
05-03-2020,7
06-03-2020,7
07-03-2020,7
08-03-2020,7
09-03-2020,7
10-03-2020,7
14-03-2020,7
15-03-2020,7
16-03-2020,7
19-03-2020,7
21-03-2020,7
22-03-2020,7
23-03-2020,7
23-03-2020,7
24-03-2020,7
24-03-2020,7
25-03-2020,7
25-03-2020,7
26-03-2020,7
27-03-2020,7
29-03-2020,7
29-03-2020,7
30-03-2020,7
30-03-2020,7
31-03-2020,7
01-04-2020,7
02-04-2020,7
04-04-2020,7
05-04-2020,7
06-04-2020,7
07-04-2020,7
08-04-2020,7
09-04-2020,7
10-04-2020,7
11-04-2020,7
11-04-2020,7
12-04-2020,7
12-04-2020,7
13-04-2020,7
13-04-2020,7
14-04-2020,7
14-04-2020,7
15-04-2020,7
15-04-2020,7
15-04-2020,7
16-04-2020,7
16-04-2020,7
16-04-2020,7
08-03-2020,8
17-03-2020,8
18-03-2020,8
19-03-2020,8
24-03-2020,8
28-03-2020,8
29-03-2020,8
30-03-2020,8
31-03-2020,8
09-03-2020,9
11-03-2020,9
23-03-2020,9
24-03-2020,9
25-03-2020,9
25-03-2020,9
28-03-2020,9
29-03-2020,9
30-03-2020,9
01-04-2020,9
02-04-2020,9
03-04-2020,9
04-04-2020,9
05-04-2020,9
18-03-2020,10
20-03-2020,10
26-03-2020,10
27-03-2020,10
31-03-2020,10
01-04-2020,10
02-04-2020,10
03-04-2020,10
03-04-2020,10
04-04-2020,10
05-04-2020,10
06-04-2020,10
06-04-2020,10
07-04-2020,10
07-04-2020,10
08-04-2020,10
08-04-2020,10
09-04-2020,10
10-04-2020,10
12-03-2020,11
12-03-2020,11
13-03-2020,11
17-03-2020,11
18-03-2020,11
26-03-2020,11
29-03-2020,11
09-04-2020,11
10-04-2020,11
11-04-2020,11
12-04-2020,11
13-04-2020,11
14-04-2020,11
15-04-2020,11
16-04-2020,11
14-03-2020,12
19-03-2020,12
27-03-2020,12
15-03-2020,13
16-03-2020,13
21-03-2020,13
21-03-2020,13
22-03-2020,13
23-03-2020,13
24-03-2020,13
25-03-2020,13
26-03-2020,13
26-03-2020,13
27-03-2020,13
27-03-2020,13
28-03-2020,13
29-03-2020,13
30-03-2020,13
31-03-2020,13
31-03-2020,13
01-04-2020,13
02-04-2020,13
06-04-2020,13
07-04-2020,13
09-04-2020,13
10-04-2020,13
11-03-2020,14
12-03-2020,14
13-03-2020,14
13-03-2020,14
14-03-2020,14
14-03-2020,14
15-03-2020,14
16-03-2020,14
19-03-2020,14
25-03-2020,14
28-03-2020,14
03-04-2020,14
04-04-2020,14
05-04-2020,14
06-04-2020,14
07-04-2020,14
08-04-2020,14
09-04-2020,14
04-03-2020,15
05-03-2020,15
06-03-2020,15
07-03-2020,15
08-03-2020,15
09-03-2020,15
10-03-2020,15
10-03-2020,15
17-03-2020,15
17-03-2020,15
20-03-2020,15
21-03-2020,15
24-03-2020,15
28-03-2020,15
30-03-2020,15
31-03-2020,15
10-04-2020,15
11-04-2020,15
12-04-2020,15
13-04-2020,15
14-04-2020,15
18-03-2020,16
01-04-2020,16
02-04-2020,16
03-04-2020,16
04-04-2020,16
11-03-2020,17
12-03-2020,17
18-03-2020,17
19-03-2020,17
20-03-2020,17
20-03-2020,17
20-03-2020,17
20-03-2020,17
21-03-2020,17
21-03-2020,17
11-04-2020,17
12-04-2020,17
15-04-2020,17
16-04-2020,17
22-03-2020,18
25-03-2020,18
29-03-2020,18
03-04-2020,18
04-04-2020,18
05-04-2020,18
06-04-2020,18
07-04-2020,18
08-04-2020,18
08-04-2020,18
09-04-2020,18
09-04-2020,18
10-04-2020,18
11-04-2020,18
11-04-2020,18
13-03-2020,19
14-03-2020,19
19-03-2020,19
29-03-2020,19
12-04-2020,19
13-04-2020,19
26-03-2020,20
27-03-2020,20
28-03-2020,20
05-04-2020,20
21-03-2020,21
22-03-2020,21
22-03-2020,21
23-03-2020,21
06-04-2020,21
13-04-2020,21
14-04-2020,21
15-04-2020,21
16-04-2020,21
15-03-2020,22
22-03-2020,22
30-03-2020,22
05-04-2020,22
